Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,Yes,Travel_Rarely,1410,Research & Development,1,3,Life Sciences,1,30,4,Male,85,3,1,Laboratory Technician,3,Married,2661,17545,4,Y,No,11,3,2,80,1,8,2,4,6,4,0,5
26,No,Travel_Rarely,223,Sales,5,3,Life Sciences,1,31,3,Male,66,3,1,Sales Representative,3,Single,2028,8567,0,Y,No,12,3,3,80,0,8,2,4,7,5,0,6
28,No,Travel_Frequently,1458,Research & Development,20,1,Medical,1,32,1,Male,78,3,1,Laboratory Technician,3,Single,2028,6930,1,Y,Yes,14,3,2,80,0,6,4,2,4,3,1,3
29,Yes,Travel_Rarely,1577,Research & Development,10,2,Life Sciences,1,33,3,Male,87,3,1,Laboratory Technician,4,Married,4300,10282,1,Y,No,11,3,1,80,1,5,2,3,4,2,0,2
32,No,Travel_Rarely,711,Research & Development,10,4,Life Sciences,1,34,4,Male,73,3,3,Research Scientist,2,Married,4404,19281,1,Y,No,11,3,2,80,1,10,2,4,9,7,1,7
31,No,Travel_Rarely,1346,Research & Development,9,2,Medical,1,35,3,Male,79,3,1,Laboratory Technician,1,Single,2755,12631,4,Y,No,23,4,4,80,1,5,3,3,4,2,0,3
26,No,Travel_Rarely,1299,Sales,10,3,Technical Degree,1,36,3,Male,94,3,1,Sales Representative,3,Married,2068,10333,0,Y,No,22,4,3,80,1,5,2,4,4,2,1,3
29,No,Travel_Rarely,670,Research & Development,9,2,Life Sciences,1,37,4,Male,48,3,1,Laboratory Technician,4,Married,2031,6341,1,Y,No,14,3,1,80,0,7,2,3,6,3,0,3
28,Yes,Travel_Rarely,850,Research & Development,29,3,Life Sciences,1,38,2,Female,46,3,1,Laboratory Technician,3,Single,2343,13068,1,Y,No,13,3,4,80,0,6,2,2,4,2,0,2
30,No,Travel_Rarely,1376,Research & Development,24,3,Medical,1,39,2,Male,67,3,1,Laboratory Technician,3,Married,2055,18711,1,Y,No,12,3,2,80,1,6,2,4,4,2,0,2
39,No,Travel_Rarely,1387,Research & Development,16,2,Medical,1,40,3,Male,63,3,1,Laboratory Technician,4,Married,2909,9434,5,Y,No,11,3,1,80,1,9,2,4,7,5,0,6
23,No,Travel_Rarely,216,Research & Development,1,2,Life Sciences,1,41,1,Male,92,3,1,Laboratory Technician,4,Single,2659,2031,1,Y,No,16,3,1,80,1,1,2,2,1,0,0,0
36,No,Travel_Rarely,1402,Research & Development,5,1,Life Sciences,1,42,3,Male,88,3,1,Laboratory Technician,3,Single,2333,11396,0,Y,No,13,3,4,80,0,17,3,4,13,9,0,11
23,No,Travel_Rarely,588,Research & Development,3,3,Life Sciences,1,43,2,Male,42,3,1,Laboratory Technician,2,Single,2062,17991,1,Y,No,12,3,2,80,1,1,3,3,0,0,0,0
36,No,Travel_Rarely,1299,Research & Development,23,1,Medical,1,44,3,Male,94,3,1,Laboratory Technician,4,Married,2333,16705,5,Y,No,22,4,3,80,3,17,6,4,11,9,0,11
31,No,Travel_Rarely,1346,Research & Development,2,2,Life Sciences,1,45,3,Male,83,4,1,Laboratory Technician,2,Married,2781,8448,2,Y,No,23,4,4,80,0,8,3,2,6,3,2,4
33,No,Travel_Rarely,225,Research & Development,5,2,Life Sciences,1,46,4,Male,71,2,2,Laboratory Technician,4,Married,3252,2343,0,Y,No,25,4,3,80,1,8,2,4,6,4,0,4
19,No,Travel_Rarely,1483,Research & Development,3,1,Life Sciences,1,47,2,Male,97,3,1,Laboratory Technician,4,Single,1051,8288,0,Y,Yes,11,3,3,80,0,0,6,2,0,0,0,0
30,No,Travel_Rarely,1025,Research & Development,3,1,Life Sciences,1,48,4,Male,41,3,1,Laboratory Technician,4,Married,2090,24826,1,Y,No,13,3,1,80,1,5,2,4,4,2,0,2
35,No,Travel_Rarely,663,Research & Development,2,3,Life Sciences,1,49,1,Male,58,2,1,Laboratory Technician,1,Married,3823,14932,5,Y,No,11,3,3,80,1,6,2,3,3,2,1,2
